id;title;description;availability;condition;price;link;image_link;brand
1778004569460;CAFÉ 3 CORAÇÕES EXTRAFORTE SACHE 500G;CAFÉ 3 CORAÇÕES EXTRAFORTE SACHE 500G;in stock;new;28.9 BRL;https://donaantonia.com.br/produto/1778004569460;../site/img/produtos_2/04569460.webp;3 CORAÇÕES
1778004410541;MOLHO DE TOMATE COM PEDAÇOS HEINZ 240G - TRADICIONAL;MOLHO DE TOMATE COM PEDAÇOS HEINZ 240G - TRADICIONAL;in stock;new;4.99 BRL;https://donaantonia.com.br/produto/1778004410541;../site/img/produtos_2/04410541.webp;HEINZ
1778004312037;Macarrão Parafuso Zero Glúten Urbano 500g;Macarrão Parafuso Zero Glúten Urbano 500g;in stock;new;6.9 BRL;https://donaantonia.com.br/produto/1778004312037;../site/img/produtos_2/04312037.webp;URBANO
1778004013614;Macarrão Penne Integral  Urbano 500g;Macarrão Penne Integral  Urbano 500g;in stock;new;6.9 BRL;https://donaantonia.com.br/produto/1778004013614;../site/img/produtos_2/04013614.webp;URBANO
1778003897367;Macarrão Espaguete Integral  Liane 500g;Macarrão Espaguete Integral  Liane 500g;in stock;new;5.2 BRL;https://donaantonia.com.br/produto/1778003897367;../site/img/produtos_2/03897367.webp;LIANE
1778003843831;Macarrão Parafuso com Ovos Liane 500g;Macarrão Parafuso com Ovos Liane 500g;in stock;new;5.2 BRL;https://donaantonia.com.br/produto/1778003843831;../site/img/produtos_2/03843831.webp;LIANE
1778003674215;Macarrão Penne Vegetais Liane 500g;Macarrão Penne Vegetais Liane 500g;in stock;new;6.9 BRL;https://donaantonia.com.br/produto/1778003674215;../site/img/produtos_2/03674215.webp;LIANE
1778003470776;Macarrão Penne Galo 500g;Macarrão Penne Galo 500g;in stock;new;3.5 BRL;https://donaantonia.com.br/produto/1778003470776;../site/img/produtos_2/03470776.webp;GALO
1778003015818;Macarrão Ninho  com Ovos Dallas 500g;Macarrão Ninho  com Ovos Dallas 500g;in stock;new;6.9 BRL;https://donaantonia.com.br/produto/1778003015818;../site/img/produtos_2/03015818.webp;DALLAS
1777998708985;Macarrão Tipo Caseiro Casaredo 400g;Macarrão Tipo Caseiro Casaredo 400g;in stock;new;6.9 BRL;https://donaantonia.com.br/produto/1777998708985;../site/img/produtos_2/98708985.webp;CASAREDO
